,站點,城市,aqi
963,小港,高雄市,26
964,前鎮,高雄市,26
965,前金,高雄市,30
966,左營,高雄市,39
967,楠梓,高雄市,26
968,林園,高雄市,29
969,大寮,高雄市,33
970,鳳山,高雄市,24
971,仁武,高雄市,35
972,橋頭,高雄市,33
973,美濃,高雄市,31
974,臺南,臺南市,29
975,安南,臺南市,31
976,善化,臺南市,31
977,新營,臺南市,28
978,嘉義,嘉義市,24
979,臺西,雲林縣,21
980,朴子,嘉義縣,22
981,新港,嘉義縣,39
982,崙背,雲林縣,35
983,斗六,雲林縣,26
984,南投,南投縣,22
985,二林,彰化縣,31
986,線西,彰化縣,20
987,彰化,彰化縣,15
988,西屯,臺中市,17
989,忠明,臺中市,12
990,大里,臺中市,15
991,沙鹿,臺中市,16
992,豐原,臺中市,18
993,三義,苗栗縣,13
994,苗栗,苗栗縣,18
995,頭份,苗栗縣,29
996,新竹,新竹市,27
997,竹東,新竹縣,28
998,湖口,新竹縣,33
999,龍潭,桃園市,36
